"TEMA";"SUBTEMA";"PERGUNTA";"NOME_ARQUIVO_JS"
"JUSTICA";"SEGURANCAPUBLICA";"Qual é o número mensal de ocorrências homícidios dolosos em Salvador?";"justica_segurancapublica_homicidio_mensal_timeline.js"
"JUSTICA";"SEGURANCAPUBLICA";"Qual é o número mensal de ocorrências de lesões seguidas de morte em Salvador?";"justica_segurancapublica_lesaomorte_mensal_timeline.js"
"JUSTICA";"SEGURANCAPUBLICA";"Qual é o número de ocorrências de latrocínios em Salvador?";"justica_segurancapublica_latrocinio_mensal_timeline.js"
"JUSTICA";"SEGURANCAPUBLICA";"Qual é o número mensal de ocorrências de tentativas de homicídios em Salvador?";"justica_segurancapublica_tenthomicidio_mensal_timeline.js"
"JUSTICA";"SEGURANCAPUBLICA";"Qual é o número mensal de registros de ocorrências de estupros em Salvador";"justica_segurancapublica_estupro_mensal_timeline.js"
"JUSTICA";"SEGURANCAPUBLICA";"Qual é o número mensal de ocorrência de roubos à ônibus em Salvador ?";"justica_segurancapublica_rouboonibus_mensal_timeline.js"
"JUSTICA";"SEGURANCAPUBLICA";"Qual é o número mensal de ocorrência de roubo de veículos em Salvador?";"justica_segurancapublica_rouboveiculos_mensal_timeline.js"
"JUSTICA";"SEGURANCAPUBLICA";"Qual é o número mensal de ocorrência de furto de veículos em Salvador?";"justica_segurancapublica_furtoveiculos_mensal_timeline.js"
"JUSTICA";"ELEICOES";"Quantos eleitores estavam aptos nas eleições municipais?";"justica_eleicoes_aptos_quadrienal.js"
"JUSTICA";"ELEICOES";"Quantas seções existiam nas últimas eleições municipais?";"justica_eleicoes_secoes_quadrienal.js"
"JUSTICA";"ELEICOES";"Qual o percentual de eleitores comapareceu às urnas no primeiro turno das eleições municiapis?";"justica_eleicoes_comparecimento_quadrienal.js"
"JUSTICA";"ELEICOES";"Qual a percentual de votos válidos no primeiro turno das eleições municipais?";"justica_eleicoes_votos_val_quadrienal.js"
"JUSTICA";"ELEICOES";"Qual o percentual de votos bancos no primeiro turno das eleições municipais?";"justica_eleicoes_votos_bran_quadrienal.js"
"JUSTICA";"ELEICOES";"Qual o percentual de votos nulos no primeiro turno das eleições municipais?";"justica_eleicoes_votos_nulos_quadrienal.js"
"JUSTICA";"Audiência de custódia";"Quais são as faixas etárias entre indivíduos autuados em flagrantes em Salvador?";"qt1.csv"
"JUSTICA";"Audiência de custódia";"Qual o perfil racial dos indivíduos autuados em flagrantes em Salvador?";"qt2.csv"
"JUSTICA";"Audiência de custódia";"Qual o número de prisões em flagrante organizado por sexo biológico em Salvador?";"qt3.csv"
"JUSTICA";"Violência contra a mulher";"Qual é o número total de mulheres vítimas de violência sexual na Bahia?";"qt1.csv"
"JUSTICA";"Violência contra a mulher";"Qual é o número de mulheres vítimas de violência sexual na Bahia organizado por raça?";"qt2.csv"
"JUSTICA";"Violência contra a mulher";"Qual é o número de registros de ocorrências de estupros em Salvador?";"qt3.csv"
