TEMA,SUBTEMA,NUM_PERG,PERGUNTA,NOME_ARQUIVO_JS,CODIGO,LINK,TAG_GITHUB,END_TRANSFORMACOES,DESCRICAO,FREQ_DATA,TP_GRAFICO,TITULO
JUSTICA,SEGURANCAPUBLICA,,Qual é o número mensal de ocorrências homícidios dolosos em Salvador?,justica_segurancapublica_homicidio_mensal_timeline.js,,http://www.ssp.ba.gov.br/modules/conteudo/,recossa,https://github.com/cienciadedadosnaep/rs_dados_justica_segpub,,mensal,timeline,
JUSTICA,SEGURANCAPUBLICA,,Qual é o número mensal de ocorrências de lesões seguidas de morte em Salvador?,justica_segurancapublica_lesaomorte_mensal_timeline.js,,http://www.ssp.ba.gov.br/modules/conteudo/,recossa,https://github.com/cienciadedadosnaep/rs_dados_justica_segpub,,mensal,timeline,
JUSTICA,SEGURANCAPUBLICA,,Qual é o número de ocorrências de latrocínios em Salvador?,justica_segurancapublica_latrocinio_mensal_timeline.js,,http://www.ssp.ba.gov.br/modules/conteudo/,recossa,https://github.com/cienciadedadosnaep/rs_dados_justica_segpub,,mensal,timeline,
JUSTICA,SEGURANCAPUBLICA,,Qual é o número mensal de ocorrências de tentativas de homicídios em Salvador?,justica_segurancapublica_tenthomicidio_mensal_timeline.js,,http://www.ssp.ba.gov.br/modules/conteudo/,recossa,https://github.com/cienciadedadosnaep/rs_dados_justica_segpub,,mensal,timeline,
JUSTICA,SEGURANCAPUBLICA,,Qual é o número mensal de registros de ocorrências de estupros em Salvador,justica_segurancapublica_estupro_mensal_timeline.js,,http://www.ssp.ba.gov.br/modules/conteudo/,recossa,https://github.com/cienciadedadosnaep/rs_dados_justica_segpub,,mensal,timeline,
JUSTICA,SEGURANCAPUBLICA,,Qual é o número mensal de ocorrência de roubos à ônibus em Salvador ?,justica_segurancapublica_rouboonibus_mensal_timeline.js,,http://www.ssp.ba.gov.br/modules/conteudo/,recossa,https://github.com/cienciadedadosnaep/rs_dados_justica_segpub,,mensal,timeline,
JUSTICA,SEGURANCAPUBLICA,,Qual é o número mensal de ocorrência de roubo de veículos em Salvador?,justica_segurancapublica_rouboveiculos_mensal_timeline.js,,http://www.ssp.ba.gov.br/modules/conteudo/,recossa,https://github.com/cienciadedadosnaep/rs_dados_justica_segpub,,mensal,timeline,
JUSTICA,SEGURANCAPUBLICA,,Qual é o número mensal de ocorrência de furto de veículos em Salvador?,justica_segurancapublica_furtoveiculos_mensal_timeline.js,,http://www.ssp.ba.gov.br/modules/conteudo/,recossa,https://github.com/cienciadedadosnaep/rs_dados_justica_segpub,,mensal,timeline,
JUSTICA,ELEICOES,,Quantos eleitores estavam aptos nas eleições municipais?,justica_eleicoes_aptos_quadrienal.js,,https://basedosdados.org/dataset/br-tse-eleicoes,recossa,https://github.com/cienciadedadosnaep/rs_dados_justica_eleicoes,,quadrienal,padrao,
JUSTICA,ELEICOES,,Quantas seções existiam nas últimas eleições municipais?,justica_eleicoes_secoes_quadrienal.js,,https://basedosdados.org/dataset/br-tse-eleicoes,recossa,https://github.com/cienciadedadosnaep/rs_dados_justica_eleicoes,,quadrienal,padrao,
JUSTICA,ELEICOES,,Qual o percentual de eleitores comapareceu às urnas no primeiro turno das eleições municiapis?,justica_eleicoes_comparecimento_quadrienal.js,,https://basedosdados.org/dataset/br-tse-eleicoes,recossa,https://github.com/cienciadedadosnaep/rs_dados_justica_eleicoes,,quadrienal,padrao,
JUSTICA,ELEICOES,,Qual a percentual de votos válidos no primeiro turno das eleições municipais?  ,justica_eleicoes_votos_val_quadrienal.js,,https://basedosdados.org/dataset/br-tse-eleicoes,recossa,https://github.com/cienciadedadosnaep/rs_dados_justica_eleicoes,,quadrienal,padrao,
JUSTICA,ELEICOES,,Qual o percentual de votos bancos no primeiro turno das eleições municipais?,justica_eleicoes_votos_bran_quadrienal.js,,https://basedosdados.org/dataset/br-tse-eleicoes,recossa,https://github.com/cienciadedadosnaep/rs_dados_justica_eleicoes,,quadrienal,padrao,
JUSTICA,ELEICOES,,Qual o percentual de votos nulos no primeiro turno das eleições municipais?,justica_eleicoes_votos_nulos_quadrienal.js,,https://basedosdados.org/dataset/br-tse-eleicoes,recossa,https://github.com/cienciadedadosnaep/rs_dados_justica_eleicoes,,quadrienal,padrao,
JUSTICA,Audiência de custódia,qt1,Quais são as faixas etárias entre indivíduos autuados em flagrantes em Salvador?,qt1.csv,codigo_v00.R,https://www.defensoria.ba.def.br/wp-content/uploads/2020/10/sanitize_relatorio-audiecc82ncias-de-custodia-salvador-20192.pdf_291020-120915.pdf,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_justica_audienciadecustodia,,anual,barra lado a lado,Faixas etárias dos indivíduos autuados em flagrantes em Salvador
